name,full_name,stars,language,created_at,updated_at,open_issues,html_url
freeCodeCamp,freeCodeCamp/freeCodeCamp,430278,TypeScript,2014-12-24T17:49:19Z,2025-10-15T22:58:30Z,298,https://github.com/freeCodeCamp/freeCodeCamp
build-your-own-x,codecrafters-io/build-your-own-x,426549,Markdown,2018-05-09T12:03:18Z,2025-10-15T22:57:43Z,434,https://github.com/codecrafters-io/build-your-own-x
awesome,sindresorhus/awesome,407098,,2014-07-11T13:42:37Z,2025-10-15T22:56:52Z,70,https://github.com/sindresorhus/awesome
free-programming-books,EbookFoundation/free-programming-books,372555,Python,2013-10-11T06:50:37Z,2025-10-15T22:49:14Z,152,https://github.com/EbookFoundation/free-programming-books
public-apis,public-apis/public-apis,370164,Python,2016-03-20T23:49:42Z,2025-10-15T22:43:03Z,605,https://github.com/public-apis/public-apis
developer-roadmap,kamranahmedse/developer-roadmap,340454,TypeScript,2017-03-15T13:45:52Z,2025-10-15T22:48:42Z,186,https://github.com/kamranahmedse/developer-roadmap
coding-interview-university,jwasham/coding-interview-university,331144,,2016-06-06T02:34:12Z,2025-10-15T22:32:30Z,87,https://github.com/jwasham/coding-interview-university
system-design-primer,donnemartin/system-design-primer,322902,Python,2017-02-26T16:15:28Z,2025-10-15T22:54:38Z,522,https://github.com/donnemartin/system-design-primer
996.ICU,996icu/996.ICU,274576,,2019-03-26T07:31:14Z,2025-10-15T19:05:53Z,16695,https://github.com/996icu/996.ICU
awesome-python,vinta/awesome-python,264452,Python,2014-06-27T21:00:06Z,2025-10-15T22:58:13Z,496,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted/awesome-selfhosted,252795,,2015-06-01T02:33:17Z,2025-10-15T22:56:56Z,0,https://github.com/awesome-selfhosted/awesome-selfhosted
project-based-learning,practical-tutorials/project-based-learning,246781,,2017-04-12T05:07:46Z,2025-10-15T22:58:42Z,247,https://github.com/practical-tutorials/project-based-learning
react,facebook/react,239797,JavaScript,2013-05-24T16:15:54Z,2025-10-15T22:32:19Z,1034,https://github.com/facebook/react
Python,TheAlgorithms/Python,210827,Python,2016-07-16T09:44:01Z,2025-10-15T22:44:47Z,561,https://github.com/TheAlgorithms/Python
vue,vuejs/vue,209564,TypeScript,2013-07-29T03:24:51Z,2025-10-15T21:41:56Z,609,https://github.com/vuejs/vue
linux,torvalds/linux,205001,C,2011-09-04T22:48:12Z,2025-10-15T22:29:18Z,3,https://github.com/torvalds/linux
computer-science,ossu/computer-science,195448,HTML,2014-05-04T00:18:39Z,2025-10-15T22:13:45Z,16,https://github.com/ossu/computer-science
